\u3042	\u2808
\u3044	\u2818
\u3046	\u2809
\u3048	\u2819
\u304a	\u2811
\u304b	\u280c
\u304d	\u281c
\u304f	\u280d
\u3051	\u281d
\u3053	\u2815
\u3055	\u280e
\u3057	\u281e
\u3059	\u280f
\u305b	\u281f
\u305d	\u2817
\u305f	\u282a
\u3061	\u283a
\u3064	\u282b
\u3066	\u283b
\u3068	\u2833
\u306a	\u2828
\u306b	\u2838
\u306c	\u2829
\u306d	\u2839
\u306e	\u2831
\u306f	\u282c
\u3072	\u283c
\u3075	\u282d
\u3078	\u283d
\u307b	\u2835
\u307e	\u282e
\u307f	\u283e
\u3080	\u282f
\u3081	\u283f
\u3082	\u2837
\u3084	\u2821
\u3086	\u2825
\u3088	\u2823
\u3089	\u280a
\u308a	\u281a
\u308b	\u280b
\u308c	\u281b
\u308d	\u2813
\u308f	\u2820
\u3092	\u2822
\u3093	\u2826
\u3063	\u2810
\u304c	\u280c\u2802
\u304e	\u281c\u2802
\u3050	\u280d\u2802
\u3052	\u281d\u2802
\u3054	\u2815\u2802
\u3056	\u280e\u2802
\u3058	\u281e\u2802
\u305a	\u280f\u2802
\u305c	\u281f\u2802
\u305e	\u2817\u2802
\u3060	\u282a\u2802
\u3062	\u283a\u2802
\u3065	\u282b\u2802
\u3067	\u283b\u2802
\u3069	\u2833\u2802
\u3070	\u282c\u2804
\u3073	\u283c\u2804
\u3076	\u282d\u2804
\u3079	\u283d\u2804
\u307c	\u2835\u2804
\u304d\u3083	\u280c\u2801
\u304d\u3085	\u280d\u2801
\u304d\u3087	\u2815\u2801
\u3057\u3083	\u280d\u2801
\u3057\u3085	\u280f\u2801
\u3057\u3087	\u2817\u2801
\u3061\u3083	\u282a\u2801
\u3061\u3085	\u282b\u2801
\u3061\u3087	\u2833\u2801
\u306b\u3083	\u2828\u2801
\u306b\u3085	\u2829\u2801
\u306b\u3087	\u2831\u2801
\u3072\u3083	\u282c\u2801
\u3072\u3085	\u282d\u2801
\u3072\u3087	\u2835\u2801
\u307f\u3083	\u282e\u2801
\u307f\u3085	\u282f\u2801
\u307f\u3087	\u2837\u2801
\u308a\u3083	\u280a\u2801
\u308a\u3085	\u280b\u2801
\u308a\u3087	\u2813\u2801
\u304e\u3083	\u280c\u2803
\u304e\u3085	\u280d\u2803
\u304e\u3087	\u2815\u2803
\u3058\u3083	\u280e\u2803
\u3058\u3085	\u280f\u2803
\u3058\u3087	\u2817\u2803
\u3062\u3083	\u282a\u2803
\u3062\u3085	\u282b\u2803
\u3062\u3087	\u2833\u2803
\u3073\u3083	\u282c\u2803
\u3073\u3085	\u282d\u2803
\u3073\u3087	\u2835\u2803
\u3074\u3083	\u282c\u2828
\u3074\u3085	\u282d\u2828
\u3074\u3087	\u2835\u2828
\u30fc	\u2812
\u3001	\u2800
\u3002	\u2800\u2800\u2816
\u30fb	\u2800\u2802
!	\u2832
?	\u2814
a	\u2808
b	\u2818
c	\u2809
d	\u280b
e	\u280a
f	\u2819
g	\u281b
h	\u281a
i	\u2811
j	\u2813
k	\u2828
l	\u2838
m	\u2829
n	\u282b
o	\u282a
p	\u2839
q	\u283b
r	\u283a
s	\u2831
t	\u2833
u	\u282c
v	\u283c
w	\u2817
x	\u282d
y	\u282f
z	\u282e
1	\u2808
2	\u2818
3	\u2809
4	\u280b
5	\u280a
6	\u2819
7	\u281b
8	\u281a
9	\u2811
0	\u2813
